"Name","Appetite","Dominant Teeth","Diet Category","Foot Count","Size","Aggressive","Domesticable"
"Animal 1","Big","Incisor","Herbivore","6","1","5","TRUE"
"Animal 2","Medium","Canine","Omnivore","6","1","1","TRUE"
"Animal 3","Small","Canine","Omnivore","8","2","1","FALSE"
"Animal 4","Big","Canine","Herbivore","4","1","2","TRUE"
"Animal 5","Medium","Incisor","Carnivore","9","2","2","FALSE"
"Animal 6","Medium","Canine","Herbivore","4","2","1","TRUE"
"Animal 7","Small","Canine","Herbivore","6","1","2","TRUE"
"Animal 8","Medium","Canine","Carnivore","1","2","2","FALSE"
"Animal 9","Small","Canine","Omnivore","2","1","3","TRUE"
"Animal 10","Small","Incisor","Omnivore","4","2","3","TRUE"
"Animal 11","Big","Incisor","Omnivore","9","3","5","FALSE"
"Animal 12","Big","Canine","Omnivore","4","3","4","TRUE"
"Animal 13","Small","Incisor","Omnivore","4","3","5","TRUE"
"Animal 14","Big","Canine","Omnivore","4","3","1","TRUE"
"Animal 15","Big","Incisor","Omnivore","2","3","2","TRUE"
"Animal 16","Big","Canine","Omnivore","2","3","3","TRUE"
"Animal 17","Big","Incisor","Omnivore","3","3","3","FALSE"
"Animal 18","Big","Canine","Herbivore","4","3","1","TRUE"
"Animal 19","Big","Canine","Omnivore","8","3","5","FALSE"
"Animal 20","Big","Canine","Omnivore","6","3","5","TRUE"
"Animal 21","Big","Canine","Omnivore","4","3","5","TRUE"
"Animal 22","Big","Canine","Omnivore","6","3","5","TRUE"
"Animal 23","Big","Canine","Herbivore","2","3","5","TRUE"
"Animal 24","Big","Incisor","Carnivore","7","3","5","FALSE"
"Animal 25","Big","Incisor","Omnivore","10","3","5","FALSE"
"Animal 26","Big","Canine","Omnivore","4","3","5","TRUE"
"Animal 27","Big","Incisor","Carnivore","2","3","5","FALSE"
"Animal 28","Big","Canine","Omnivore","6","2","5","FALSE"
"Animal 29","Big","Incisor","Carnivore","2","3","5","FALSE"
"Animal 30","Big","Incisor","Omnivore","7","2","5","FALSE"
"Animal 31","Big","Incisor","Omnivore","3","2","5","FALSE"
"Animal 32","Big","Canine","Omnivore","6","1","5","TRUE"
"Animal 33","Big","Canine","Omnivore","6","1","5","TRUE"
"Animal 34","Big","Incisor","Omnivore","12","2","5","FALSE"
"Animal 35","Big","Incisor","Herbivore","2","2","5","TRUE"
"Animal 36","Big","Canine","Omnivore","1","3","5","FALSE"
"Animal 37","Big","Incisor","Carnivore","5","2","5","FALSE"
"Animal 38","Big","Canine","Herbivore","6","1","5","TRUE"
"Animal 39","Big","Canine","Omnivore","4","1","5","TRUE"
"Animal 40","Big","Canine","Omnivore","6","2","5","TRUE"
"Animal 41","Big","Canine","Omnivore","6","3","5","FALSE"
"Animal 42","Big","Incisor","Omnivore","4","3","5","FALSE"
"Animal 43","Big","Incisor","Omnivore","4","3","5","FALSE"
"Animal 44","Big","Incisor","Omnivore","8","2","5","FALSE"
"Animal 45","Big","Canine","Omnivore","6","1","5","FALSE"
"Animal 46","Big","Canine","Omnivore","4","2","5","FALSE"
"Animal 47","Big","Incisor","Omnivore","12","2","5","FALSE"
"Animal 48","Big","Canine","Omnivore","12","2","5","FALSE"
"Animal 49","Big","Canine","Carnivore","5","2","5","FALSE"
"Animal 50","Big","Incisor","Carnivore","8","3","5","FALSE"
"Animal 51","Big","Incisor","Omnivore","6","1","5","FALSE"
"Animal 52","Big","Incisor","Carnivore","6","2","5","FALSE"
"Animal 53","Big","Canine","Omnivore","1","3","5","FALSE"
