"Food","Origin Country","Glucose","Carbohidrate","Vitamins Contained","Price Estimate"
"Dr. Pepper - 355ml","China","83","177","Low","3253"
"Appetizer - Asian Shrimp Roll","Luxembourg","39","301","Medium","3050"
"Kumquat","China","41","369","High","2593"
"Onion - Dried","Benin","53","381","Medium","3045"
"Chicken Breast Wing On","Philippines","54","324","Medium","3439"
"Yoghurt Tubes","Indonesia","18","192","High","3227"
"Cherries - Bing, Canned","Macedonia","1","120","High","3112"
"Mushroom - Enoki, Fresh","Portugal","72","265","Low","3344"
"Pineapple - Regular","Indonesia","19","192","High","3806"
"Eggplant Oriental","Poland","31","365","Medium","3279"
"Cheese - Cream Cheese","Philippines","3","102","High","3324"
"Duck - Breast","Greece","28","102","High","3191"
"Buffalo - Tenderloin","Bulgaria","78","226","Low","3255"
"Sugar - Icing","Colombia","66","212","Medium","3335"
"Bagel - Sesame Seed Presliced","Benin","12","190","High","3730"
"Tart Shells - Savory, 4","Indonesia","54","363","Medium","3455"
"Turkey - Ground. Lean","Ukraine","77","203","Low","3421"
"Muffin Chocolate Individual Wrap","China","69","227","Low","3043"
"Wine - White, Schroder And Schyl","Germany","39","358","Low","2910"
"Wine - Taylors Reserve","Indonesia","57","393","Medium","3086"
"Tea - English Breakfast","Portugal","17","142","High","3251"
"Filter - Coffee","Japan","59","370","Medium","2682"
"Cattail Hearts","Poland","65","273","Low","3245"
"Shopper Bag - S - 4","Colombia","46","426","Medium","3056"
"Chickhen - Chicken Phyllo","Russia","77","208","Low","3043"
"Coffee Cup 8oz 5338cd","Portugal","33","387","Medium","3110"
"Shrimp - Black Tiger 6 - 8","China","7","155","High","3256"
"Turkey Leg With Drum And Thigh","Brazil","41","338","Medium","2656"
"Canadian Emmenthal","Sweden","73","265","Low","3335"
"Veal - Striploin","Canada","22","132","High","3584"
"Extract Vanilla Pure","Armenia","90","203","Medium","3098"
"Calaloo","Luxembourg","22","197","High","3117"
"Chicken Breast Halal","China","22","356","Medium","3266"
"Swiss Chard - Red","China","31","336","Low","2593"
"Sugar - Cubes","China","51","324","Medium","2989"
"Mayonnaise - Individual Pkg","Philippines","74","284","Low","3207"
"Wiberg Super Cure","France","72","261","Low","3389"
"Plaintain","Portugal","25","139","High","4096"
"Chips Potato All Dressed - 43g","Indonesia","25","102","Medium","3158"
"Bag Clear 10 Lb","Indonesia","43","326","Medium","2741"
"Kellogs All Bran Bars","China","-8","164","High","3680"
"Chutney Sauce","Syria","78","229","Low","2957"
"Cocoa Powder - Natural","China","23","152","High","3665"
"Flower - Commercial Bronze","Ukraine","-17","101","High","3293"
"Oranges","Malaysia","53","333","Medium","2808"
"Flower - Leather Leaf Fern","Sweden","20","164","Medium","3948"
"Coffee Decaf Colombian","China","81","260","Low","3277"
"Pork - Back, Long Cut, Boneless","Indonesia","72","228","Low","3114"
"Soup - Base Broth Beef","China","60","248","Low","3306"
"Shrimp - 150 - 250","Saint Vincent and the Grenadines","54","398","Medium","3284"
"Lumpfish Black","Yemen","55","370","Medium","2595"
"Lobster - Canned Premium","China","8","141","High","3466"
"Veal - Nuckle","Ukraine","9","147","High","3436"
"Ice - Clear, 300 Lb For Carving","Greece","21","124","Medium","3831"
"Chocolate - Semi Sweet, Calets","Portugal","87","290","High","3239"
"Mushroom - King Eryingii","Russia","74","297","Low","3464"
"Otomegusa Dashi Konbu","Thailand","26","166","Medium","3772"
"Crab - Dungeness, Whole","China","29","155","Medium","3312"
"Chef Hat 25cm","Philippines","0","102","High","3920"
"Lettuce - Frisee","China","42","390","Medium","2768"
"Pail For Lid 1537","Indonesia","14","103","High","3516"
"Nut - Macadamia","Indonesia","80","294","Low","3014"
"Bread - 10 Grain Parisian","France","57","327","Medium","2438"
"Chivas Regal - 12 Year Old","Argentina","0","118","High","3061"
"Bread - Dark Rye, Loaf","Tunisia","85","224","Low","3124"
"Oil - Olive","Brazil","26","163","High","3101"
